id,date,label,pct_change,predicted_label,expert_id
nifty_1794,2019-02-13,Neutral,-0.0022,Fall,Llama-2-7b-chat-hf
nifty_1795,2019-02-14,Rise,0.0109,Rise,Llama-2-7b-chat-hf
nifty_1796,2019-02-19,Neutral,0.002,Fall,Llama-2-7b-chat-hf
nifty_1797,2019-02-20,Neutral,-0.0036,Fall,Llama-2-7b-chat-hf
nifty_1798,2019-02-21,Rise,0.0062,Fall,Llama-2-7b-chat-hf
nifty_1799,2019-02-25,Neutral,-0.0007,Rise,Llama-2-7b-chat-hf
nifty_1800,2019-02-26,Neutral,-0.0004,Neutral,Llama-2-7b-chat-hf
nifty_1801,2019-02-27,Neutral,-0.0019,Fall,Llama-2-7b-chat-hf
nifty_1802,2019-02-28,Rise,0.0062,Fall,Llama-2-7b-chat-hf
nifty_1803,2019-03-04,Neutral,-0.0014,Fall,Llama-2-7b-chat-hf
nifty_1804,2019-03-05,Fall,-0.0061,Fall,Llama-2-7b-chat-hf
nifty_1805,2019-03-06,Fall,-0.0084,Neutral,Llama-2-7b-chat-hf
nifty_1806,2019-03-07,Neutral,-0.002,Fall,Llama-2-7b-chat-hf
nifty_1807,2019-03-11,Neutral,0.0038,Fall,Llama-2-7b-chat-hf
nifty_1808,2019-03-12,Rise,0.0066,Fall,Llama-2-7b-chat-hf
nifty_1809,2019-03-13,Neutral,-0.0006,Fall,Llama-2-7b-chat-hf
nifty_1810,2019-03-14,Neutral,0.0005,Fall,Llama-2-7b-chat-hf
nifty_1811,2019-03-18,Neutral,0.0002,Fall,Llama-2-7b-chat-hf
nifty_1812,2019-03-19,Neutral,-0.003,Neutral,Llama-2-7b-chat-hf
nifty_1813,2019-03-20,Rise,0.0113,Fall,Llama-2-7b-chat-hf
nifty_1814,2019-03-21,Fall,-0.0192,Fall,Llama-2-7b-chat-hf
nifty_1815,2019-03-25,Rise,0.0075,Fall,Llama-2-7b-chat-hf
nifty_1816,2019-03-26,Fall,-0.0052,Fall,Llama-2-7b-chat-hf
nifty_1817,2019-03-27,Neutral,0.0038,Fall,Llama-2-7b-chat-hf
nifty_1818,2019-03-28,Rise,0.0063,Fall,Llama-2-7b-chat-hf
nifty_1819,2019-04-01,Neutral,0.0005,Fall,Llama-2-7b-chat-hf
nifty_1820,2019-04-02,Neutral,0.0016,Fall,Llama-2-7b-chat-hf
nifty_1821,2019-04-03,Neutral,0.0027,Fall,Llama-2-7b-chat-hf
nifty_1822,2019-04-04,Neutral,0.0048,Fall,Llama-2-7b-chat-hf
nifty_1823,2019-04-08,Fall,-0.0051,Fall,Llama-2-7b-chat-hf
nifty_1824,2019-04-09,Neutral,0.0034,Fall,Llama-2-7b-chat-hf
nifty_1825,2019-04-10,Neutral,-0.0003,Fall,Llama-2-7b-chat-hf
nifty_1826,2019-04-11,Rise,0.0068,Neutral,Llama-2-7b-chat-hf
nifty_1827,2019-04-15,Neutral,0.0007,Fall,Llama-2-7b-chat-hf
nifty_1828,2019-04-16,Neutral,-0.0024,Fall,Llama-2-7b-chat-hf
nifty_1829,2019-04-17,Neutral,0.002,Fall,Llama-2-7b-chat-hf
nifty_1830,2019-04-22,Rise,0.009,Neutral,Llama-2-7b-chat-hf
nifty_1831,2019-04-23,Neutral,-0.0022,Fall,Llama-2-7b-chat-hf
nifty_1832,2019-04-24,Neutral,-0.0006,Fall,Llama-2-7b-chat-hf
nifty_1833,2019-04-25,Neutral,0.0047,Fall,Llama-2-7b-chat-hf
nifty_1834,2019-04-29,Neutral,0.0005,Fall,Llama-2-7b-chat-hf
nifty_1835,2019-04-30,Fall,-0.0075,Fall,Llama-2-7b-chat-hf
nifty_1836,2019-05-01,Neutral,-0.0022,Fall,Llama-2-7b-chat-hf
nifty_1837,2019-05-02,Rise,0.0098,Fall,Llama-2-7b-chat-hf
nifty_1838,2019-05-06,Fall,-0.0167,Neutral,Llama-2-7b-chat-hf
nifty_1839,2019-05-07,Neutral,-0.0014,Fall,Llama-2-7b-chat-hf
nifty_1840,2019-05-08,Neutral,-0.003,Neutral,Llama-2-7b-chat-hf
nifty_1841,2019-05-09,Rise,0.005,Neutral,Llama-2-7b-chat-hf
nifty_1842,2019-05-13,Rise,0.009,Fall,Llama-2-7b-chat-hf
nifty_1843,2019-05-14,Rise,0.0059,Fall,Llama-2-7b-chat-hf
nifty_1844,2019-05-15,Rise,0.0093,Neutral,Llama-2-7b-chat-hf
nifty_1845,2019-05-16,Fall,-0.0065,Fall,Llama-2-7b-chat-hf
nifty_1846,2019-05-20,Rise,0.009,Fall,Llama-2-7b-chat-hf
nifty_1847,2019-05-21,Neutral,-0.0031,Fall,Llama-2-7b-chat-hf
nifty_1848,2019-05-22,Fall,-0.0122,Fall,Llama-2-7b-chat-hf
nifty_1849,2019-05-23,Neutral,0.0023,Fall,Llama-2-7b-chat-hf
nifty_1850,2019-05-28,Fall,-0.0067,Rise,Llama-2-7b-chat-hf
nifty_1851,2019-05-29,Neutral,0.0027,Fall,Llama-2-7b-chat-hf
nifty_1852,2019-05-30,Fall,-0.0135,Fall,Llama-2-7b-chat-hf
nifty_1853,2019-06-03,Rise,0.0217,Fall,Llama-2-7b-chat-hf
nifty_1854,2019-06-04,Rise,0.0087,Fall,Llama-2-7b-chat-hf
nifty_1855,2019-06-05,Rise,0.0065,Fall,Llama-2-7b-chat-hf
nifty_1856,2019-06-06,Rise,0.01,Fall,Llama-2-7b-chat-hf
nifty_1857,2019-06-10,Neutral,-0.0002,Neutral,Llama-2-7b-chat-hf
nifty_1858,2019-06-11,Neutral,-0.0018,Fall,Llama-2-7b-chat-hf
nifty_1859,2019-06-12,Neutral,0.0041,Neutral,Llama-2-7b-chat-hf
nifty_1860,2019-06-13,Neutral,-0.0011,Fall,Llama-2-7b-chat-hf
nifty_1861,2019-06-17,Rise,0.0105,Neutral,Llama-2-7b-chat-hf
nifty_1862,2019-06-18,Neutral,0.0023,Rise,Llama-2-7b-chat-hf
nifty_1863,2019-06-19,Rise,0.0096,Fall,Llama-2-7b-chat-hf
nifty_1864,2019-06-20,Fall,-0.0063,Fall,Llama-2-7b-chat-hf
nifty_1865,2019-06-24,Fall,-0.0098,Neutral,Llama-2-7b-chat-hf
nifty_1866,2019-06-25,Neutral,-0.001,Fall,Llama-2-7b-chat-hf
nifty_1867,2019-06-26,Neutral,0.0035,Fall,Llama-2-7b-chat-hf
nifty_1868,2019-06-27,Rise,0.0051,Fall,Llama-2-7b-chat-hf
nifty_1869,2019-07-01,Neutral,0.0026,Fall,Llama-2-7b-chat-hf
nifty_1870,2019-07-02,Rise,0.008,Fall,Llama-2-7b-chat-hf
nifty_1871,2019-07-08,Neutral,0.0012,Fall,Llama-2-7b-chat-hf
nifty_1872,2019-07-09,Neutral,0.0048,Rise,Llama-2-7b-chat-hf
nifty_1873,2019-07-10,Neutral,0.0023,Fall,Llama-2-7b-chat-hf
nifty_1874,2019-07-11,Neutral,0.0045,Fall,Llama-2-7b-chat-hf
nifty_1875,2019-07-15,Neutral,-0.0032,Neutral,Llama-2-7b-chat-hf
nifty_1876,2019-07-16,Fall,-0.0068,Fall,Llama-2-7b-chat-hf
nifty_1877,2019-07-17,Neutral,0.0037,Neutral,Llama-2-7b-chat-hf
nifty_1878,2019-07-18,Fall,-0.0056,Fall,Llama-2-7b-chat-hf
nifty_1879,2019-07-22,Rise,0.0072,Fall,Llama-2-7b-chat-hf
nifty_1880,2019-07-23,Neutral,0.0047,Rise,Llama-2-7b-chat-hf
nifty_1881,2019-07-24,Neutral,-0.0048,Rise,Llama-2-7b-chat-hf
nifty_1882,2019-07-25,Rise,0.0067,Fall,Llama-2-7b-chat-hf
nifty_1883,2019-07-29,Neutral,-0.0025,Fall,Llama-2-7b-chat-hf
nifty_1884,2019-07-30,Fall,-0.0109,Fall,Llama-2-7b-chat-hf
nifty_1885,2019-07-31,Fall,-0.0087,Fall,Llama-2-7b-chat-hf
nifty_1886,2019-08-01,Fall,-0.0075,Fall,Llama-2-7b-chat-hf
