id,date,label,pct_change,predicted_label,expert_id
nifty_1794,2019-02-13,Neutral,-0.0022,Neutral,nifty
nifty_1795,2019-02-14,Rise,0.0109,Neutral,nifty
nifty_1796,2019-02-19,Neutral,0.002,Rise,nifty
nifty_1797,2019-02-20,Neutral,-0.0036,Neutral,nifty
nifty_1798,2019-02-21,Rise,0.0062,Rise,nifty
nifty_1799,2019-02-25,Neutral,-0.0007,Neutral,nifty
nifty_1800,2019-02-26,Neutral,-0.0004,Rise,nifty
nifty_1801,2019-02-27,Neutral,-0.0019,Neutral,nifty
nifty_1802,2019-02-28,Rise,0.0062,Rise,nifty
nifty_1803,2019-03-04,Neutral,-0.0014,Rise,nifty
nifty_1804,2019-03-05,Fall,-0.0061,Neutral,nifty
nifty_1805,2019-03-06,Fall,-0.0084,Rise,nifty
nifty_1806,2019-03-07,Neutral,-0.002,Rise,nifty
nifty_1807,2019-03-11,Neutral,0.0038,Rise,nifty
nifty_1808,2019-03-12,Rise,0.0066,Neutral,nifty
nifty_1809,2019-03-13,Neutral,-0.0006,Neutral,nifty
nifty_1810,2019-03-14,Neutral,0.0005,Neutral,nifty
nifty_1811,2019-03-18,Neutral,0.0002,Neutral,nifty
nifty_1812,2019-03-19,Neutral,-0.003,Neutral,nifty
nifty_1813,2019-03-20,Rise,0.0113,Rise,nifty
nifty_1814,2019-03-21,Fall,-0.0192,Rise,nifty
nifty_1815,2019-03-25,Rise,0.0075,Rise,nifty
nifty_1816,2019-03-26,Fall,-0.0052,Rise,nifty
nifty_1817,2019-03-27,Neutral,0.0038,Rise,nifty
nifty_1818,2019-03-28,Rise,0.0063,Neutral,nifty
nifty_1819,2019-04-01,Neutral,0.0005,Neutral,nifty
nifty_1820,2019-04-02,Neutral,0.0016,Rise,nifty
nifty_1821,2019-04-03,Neutral,0.0027,Rise,nifty
nifty_1822,2019-04-04,Neutral,0.0048,Neutral,nifty
nifty_1823,2019-04-08,Fall,-0.0051,Rise,nifty
nifty_1824,2019-04-09,Neutral,0.0034,Neutral,nifty
nifty_1825,2019-04-10,Neutral,-0.0003,Rise,nifty
nifty_1826,2019-04-11,Rise,0.0068,Neutral,nifty
nifty_1827,2019-04-15,Neutral,0.0007,Rise,nifty
nifty_1828,2019-04-16,Neutral,-0.0024,Rise,nifty
nifty_1829,2019-04-17,Neutral,0.002,Neutral,nifty
nifty_1830,2019-04-22,Rise,0.009,Rise,nifty
nifty_1831,2019-04-23,Neutral,-0.0022,Neutral,nifty
nifty_1832,2019-04-24,Neutral,-0.0006,Rise,nifty
nifty_1833,2019-04-25,Neutral,0.0047,Rise,nifty
nifty_1834,2019-04-29,Neutral,0.0005,Rise,nifty
nifty_1835,2019-04-30,Fall,-0.0075,Rise,nifty
nifty_1836,2019-05-01,Neutral,-0.0022,Rise,nifty
nifty_1837,2019-05-02,Rise,0.0098,Rise,nifty
nifty_1838,2019-05-06,Fall,-0.0167,Neutral,nifty
nifty_1839,2019-05-07,Neutral,-0.0014,Rise,nifty
nifty_1840,2019-05-08,Neutral,-0.003,Neutral,nifty
nifty_1841,2019-05-09,Rise,0.005,Neutral,nifty
nifty_1842,2019-05-13,Rise,0.009,Neutral,nifty
nifty_1843,2019-05-14,Rise,0.0059,Neutral,nifty
nifty_1844,2019-05-15,Rise,0.0093,Neutral,nifty
nifty_1845,2019-05-16,Fall,-0.0065,Rise,nifty
nifty_1846,2019-05-20,Rise,0.009,Rise,nifty
nifty_1847,2019-05-21,Neutral,-0.0031,Rise,nifty
nifty_1848,2019-05-22,Fall,-0.0122,Neutral,nifty
nifty_1849,2019-05-23,Neutral,0.0023,Neutral,nifty
nifty_1850,2019-05-28,Fall,-0.0067,Rise,nifty
nifty_1851,2019-05-29,Neutral,0.0027,Rise,nifty
nifty_1852,2019-05-30,Fall,-0.0135,Neutral,nifty
nifty_1853,2019-06-03,Rise,0.0217,Rise,nifty
nifty_1854,2019-06-04,Rise,0.0087,Neutral,nifty
