id,date,pct_change,expert_id,label,predicted_label
nifty_1794,2019-02-13,-0.0022,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1795,2019-02-14,0.0109,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1796,2019-02-19,0.002,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1797,2019-02-20,-0.0036,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1798,2019-02-21,0.0062,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1799,2019-02-25,-0.0007,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1800,2019-02-26,-0.0004,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1801,2019-02-27,-0.0019,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1802,2019-02-28,0.0062,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1803,2019-03-04,-0.0014,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1804,2019-03-05,-0.0061,Meta-Llama-3-8B-Instruct,Fall,Rise
nifty_1805,2019-03-06,-0.0084,Meta-Llama-3-8B-Instruct,Fall,Rise
nifty_1806,2019-03-07,-0.002,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1807,2019-03-11,0.0038,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1808,2019-03-12,0.0066,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1809,2019-03-13,-0.0006,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1810,2019-03-14,0.0005,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1811,2019-03-18,0.0002,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1812,2019-03-19,-0.003,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1813,2019-03-20,0.0113,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1814,2019-03-21,-0.0192,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1815,2019-03-25,0.0075,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1816,2019-03-26,-0.0052,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1817,2019-03-27,0.0038,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1818,2019-03-28,0.0063,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1819,2019-04-01,0.0005,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1820,2019-04-02,0.0016,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1821,2019-04-03,0.0027,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1822,2019-04-04,0.0048,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1823,2019-04-08,-0.0051,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1824,2019-04-09,0.0034,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1825,2019-04-10,-0.0003,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1826,2019-04-11,0.0068,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1827,2019-04-15,0.0007,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1828,2019-04-16,-0.0024,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1829,2019-04-17,0.002,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1830,2019-04-22,0.009,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1831,2019-04-23,-0.0022,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1832,2019-04-24,-0.0006,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1833,2019-04-25,0.0047,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1834,2019-04-29,0.0005,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1835,2019-04-30,-0.0075,Meta-Llama-3-8B-Instruct,Fall,Rise
nifty_1836,2019-05-01,-0.0022,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1837,2019-05-02,0.0098,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1838,2019-05-06,-0.0167,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1839,2019-05-07,-0.0014,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1840,2019-05-08,-0.003,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1841,2019-05-09,0.005,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1842,2019-05-13,0.009,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1843,2019-05-14,0.0059,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1844,2019-05-15,0.0093,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1845,2019-05-16,-0.0065,Meta-Llama-3-8B-Instruct,Fall,Rise
nifty_1846,2019-05-20,0.009,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1847,2019-05-21,-0.0031,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1848,2019-05-22,-0.0122,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1849,2019-05-23,0.0023,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1850,2019-05-28,-0.0067,Meta-Llama-3-8B-Instruct,Fall,Rise
nifty_1851,2019-05-29,0.0027,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1852,2019-05-30,-0.0135,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1853,2019-06-03,0.0217,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1854,2019-06-04,0.0087,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1855,2019-06-05,0.0065,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1856,2019-06-06,0.01,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1857,2019-06-10,-0.0002,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1858,2019-06-11,-0.0018,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1859,2019-06-12,0.0041,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1860,2019-06-13,-0.0011,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1861,2019-06-17,0.0105,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1862,2019-06-18,0.0023,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1863,2019-06-19,0.0096,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1864,2019-06-20,-0.0063,Meta-Llama-3-8B-Instruct,Fall,Rise
nifty_1865,2019-06-24,-0.0098,Meta-Llama-3-8B-Instruct,Fall,Rise
nifty_1866,2019-06-25,-0.001,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1867,2019-06-26,0.0035,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1868,2019-06-27,0.0051,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1869,2019-07-01,0.0026,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1870,2019-07-02,0.008,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1871,2019-07-08,0.0012,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1872,2019-07-09,0.0048,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1873,2019-07-10,0.0023,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1874,2019-07-11,0.0045,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1875,2019-07-15,-0.0032,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1876,2019-07-16,-0.0068,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1877,2019-07-17,0.0037,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1878,2019-07-18,-0.0056,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1879,2019-07-22,0.0072,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1880,2019-07-23,0.0047,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1881,2019-07-24,-0.0048,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1882,2019-07-25,0.0067,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1883,2019-07-29,-0.0025,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1884,2019-07-30,-0.0109,Meta-Llama-3-8B-Instruct,Fall,Rise
nifty_1885,2019-07-31,-0.0087,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1886,2019-08-01,-0.0075,Meta-Llama-3-8B-Instruct,Fall,Rise
nifty_1887,2019-08-05,0.014,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1888,2019-08-06,0.0006,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1889,2019-08-07,0.0196,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1890,2019-08-08,-0.0068,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1891,2019-08-12,0.0156,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1892,2019-08-13,-0.0296,Meta-Llama-3-8B-Instruct,Fall,Rise
nifty_1893,2019-08-14,0.0026,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1894,2019-08-15,0.0148,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1895,2019-08-19,-0.0077,Meta-Llama-3-8B-Instruct,Fall,Rise
nifty_1896,2019-08-20,0.0081,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1897,2019-08-21,-0.0003,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1898,2019-08-22,-0.0257,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1899,2019-08-26,-0.0039,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1900,2019-08-27,0.007,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1901,2019-08-28,0.0128,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1902,2019-08-29,-0.0004,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1903,2019-09-03,0.0114,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1904,2019-09-04,0.0129,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1905,2019-09-05,0.0008,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1906,2019-09-09,-0.0002,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1907,2019-09-10,0.0071,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1908,2019-09-11,0.0035,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1909,2019-09-12,-0.0007,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1910,2019-09-16,0.0025,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1911,2019-09-17,0.0006,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1912,2019-09-18,-0.0001,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1913,2019-09-19,-0.0093,Meta-Llama-3-8B-Instruct,Fall,Rise
nifty_1914,2019-09-23,-0.0078,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1915,2019-09-24,0.0059,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1916,2019-09-25,-0.0021,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1917,2019-09-26,-0.0054,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1918,2019-09-30,-0.0119,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1919,2019-10-01,-0.0177,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1920,2019-10-02,0.0082,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1921,2019-10-03,0.0135,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1922,2019-10-07,-0.0155,Meta-Llama-3-8B-Instruct,Fall,Neutral
nifty_1923,2019-10-08,0.0095,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1924,2019-10-09,0.0068,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1925,2019-10-10,0.0104,Meta-Llama-3-8B-Instruct,Rise,Neutral
nifty_1926,2019-10-14,0.0099,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1927,2019-10-15,-0.0016,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1928,2019-10-16,0.0029,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1929,2019-10-17,-0.0044,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1930,2019-10-21,-0.0033,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1931,2019-10-22,0.0029,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1932,2019-10-23,0.0016,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1933,2019-10-24,0.0041,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1934,2019-10-28,-0.0003,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1935,2019-10-29,0.0031,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1936,2019-10-30,-0.0027,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1937,2019-10-31,0.0093,Meta-Llama-3-8B-Instruct,Rise,Rise
nifty_1938,2019-11-04,-0.0011,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1939,2019-11-05,0.0002,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1940,2019-11-06,0.0035,Meta-Llama-3-8B-Instruct,Neutral,Neutral
nifty_1941,2019-11-07,0.0025,Meta-Llama-3-8B-Instruct,Neutral,Rise
nifty_1942,2019-11-11,0.0021,Meta-Llama-3-8B-Instruct,Neutral,Neutral
