id,date,label,pct_change,predicted_label,expert_id
nifty_1794,2019-02-13,Neutral,-0.0022,Rise,dbrx-instruct
nifty_1795,2019-02-14,Rise,0.0109,Rise,dbrx-instruct
nifty_1796,2019-02-19,Neutral,0.002,Rise,dbrx-instruct
nifty_1797,2019-02-20,Neutral,-0.0036,Neutral,dbrx-instruct
nifty_1798,2019-02-21,Rise,0.0062,Rise,dbrx-instruct
nifty_1799,2019-02-25,Neutral,-0.0007,Rise,dbrx-instruct
nifty_1800,2019-02-26,Neutral,-0.0004,Neutral,dbrx-instruct
nifty_1801,2019-02-27,Neutral,-0.0019,Rise,dbrx-instruct
nifty_1802,2019-02-28,Rise,0.0062,Neutral,dbrx-instruct
nifty_1803,2019-03-04,Neutral,-0.0014,Neutral,dbrx-instruct
nifty_1804,2019-03-05,Fall,-0.0061,Rise,dbrx-instruct
nifty_1805,2019-03-06,Fall,-0.0084,Neutral,dbrx-instruct
nifty_1806,2019-03-07,Neutral,-0.002,Fall,dbrx-instruct
nifty_1807,2019-03-11,Neutral,0.0038,Fall,dbrx-instruct
nifty_1808,2019-03-12,Rise,0.0066,Neutral,dbrx-instruct
nifty_1809,2019-03-13,Neutral,-0.0006,Neutral,dbrx-instruct
nifty_1810,2019-03-14,Neutral,0.0005,Rise,dbrx-instruct
nifty_1811,2019-03-18,Neutral,0.0002,Rise,dbrx-instruct
nifty_1812,2019-03-19,Neutral,-0.003,Neutral,dbrx-instruct
nifty_1813,2019-03-20,Rise,0.0113,Rise,dbrx-instruct
nifty_1814,2019-03-21,Fall,-0.0192,Neutral,dbrx-instruct
nifty_1815,2019-03-25,Rise,0.0075,Rise,dbrx-instruct
nifty_1816,2019-03-26,Fall,-0.0052,Neutral,dbrx-instruct
nifty_1817,2019-03-27,Neutral,0.0038,Fall,dbrx-instruct
nifty_1818,2019-03-28,Rise,0.0063,Rise,dbrx-instruct
nifty_1819,2019-04-01,Neutral,0.0005,Rise,dbrx-instruct
nifty_1820,2019-04-02,Neutral,0.0016,Neutral,dbrx-instruct
nifty_1821,2019-04-03,Neutral,0.0027,Rise,dbrx-instruct
nifty_1822,2019-04-04,Neutral,0.0048,Neutral,dbrx-instruct
nifty_1823,2019-04-08,Fall,-0.0051,Rise,dbrx-instruct
nifty_1824,2019-04-09,Neutral,0.0034,Neutral,dbrx-instruct
nifty_1825,2019-04-10,Neutral,-0.0003,Rise,dbrx-instruct
nifty_1826,2019-04-11,Rise,0.0068,Neutral,dbrx-instruct
nifty_1827,2019-04-15,Neutral,0.0007,Rise,dbrx-instruct
nifty_1828,2019-04-16,Neutral,-0.0024,Rise,dbrx-instruct
nifty_1829,2019-04-17,Neutral,0.002,Rise,dbrx-instruct
nifty_1830,2019-04-22,Rise,0.009,Rise,dbrx-instruct
nifty_1831,2019-04-23,Neutral,-0.0022,Rise,dbrx-instruct
nifty_1832,2019-04-24,Neutral,-0.0006,Rise,dbrx-instruct
nifty_1833,2019-04-25,Neutral,0.0047,Neutral,dbrx-instruct
nifty_1834,2019-04-29,Neutral,0.0005,Rise,dbrx-instruct
nifty_1835,2019-04-30,Fall,-0.0075,Rise,dbrx-instruct
nifty_1836,2019-05-01,Neutral,-0.0022,Rise,dbrx-instruct
nifty_1837,2019-05-02,Rise,0.0098,Neutral,dbrx-instruct
nifty_1838,2019-05-06,Fall,-0.0167,Neutral,dbrx-instruct
nifty_1839,2019-05-07,Neutral,-0.0014,Fall,dbrx-instruct
nifty_1840,2019-05-08,Neutral,-0.003,Rise,dbrx-instruct
nifty_1841,2019-05-09,Rise,0.005,Rise,dbrx-instruct
nifty_1842,2019-05-13,Rise,0.009,Fall,dbrx-instruct
nifty_1843,2019-05-14,Rise,0.0059,Rise,dbrx-instruct
nifty_1844,2019-05-15,Rise,0.0093,Rise,dbrx-instruct
nifty_1845,2019-05-16,Fall,-0.0065,Rise,dbrx-instruct
nifty_1846,2019-05-20,Rise,0.009,Rise,dbrx-instruct
nifty_1847,2019-05-21,Neutral,-0.0031,Fall,dbrx-instruct
nifty_1848,2019-05-22,Fall,-0.0122,Neutral,dbrx-instruct
nifty_1849,2019-05-23,Neutral,0.0023,Rise,dbrx-instruct
nifty_1850,2019-05-28,Fall,-0.0067,Rise,dbrx-instruct
nifty_1851,2019-05-29,Neutral,0.0027,Fall,dbrx-instruct
nifty_1852,2019-05-30,Fall,-0.0135,Rise,dbrx-instruct
nifty_1853,2019-06-03,Rise,0.0217,Neutral,dbrx-instruct
nifty_1854,2019-06-04,Rise,0.0087,Neutral,dbrx-instruct
nifty_1855,2019-06-05,Rise,0.0065,Fall,dbrx-instruct
nifty_1856,2019-06-06,Rise,0.01,Rise,dbrx-instruct
nifty_1857,2019-06-10,Neutral,-0.0002,Neutral,dbrx-instruct
nifty_1858,2019-06-11,Neutral,-0.0018,Rise,dbrx-instruct
nifty_1859,2019-06-12,Neutral,0.0041,Neutral,dbrx-instruct
nifty_1860,2019-06-13,Neutral,-0.0011,Rise,dbrx-instruct
nifty_1861,2019-06-17,Rise,0.0105,Neutral,dbrx-instruct
nifty_1862,2019-06-18,Neutral,0.0023,Neutral,dbrx-instruct
nifty_1863,2019-06-19,Rise,0.0096,Rise,dbrx-instruct
nifty_1864,2019-06-20,Fall,-0.0063,Rise,dbrx-instruct
nifty_1865,2019-06-24,Fall,-0.0098,Neutral,dbrx-instruct
nifty_1866,2019-06-25,Neutral,-0.001,Rise,dbrx-instruct
nifty_1867,2019-06-26,Neutral,0.0035,Rise,dbrx-instruct
nifty_1868,2019-06-27,Rise,0.0051,Rise,dbrx-instruct
nifty_1869,2019-07-01,Neutral,0.0026,Rise,dbrx-instruct
nifty_1870,2019-07-02,Rise,0.008,Rise,dbrx-instruct
nifty_1871,2019-07-08,Neutral,0.0012,Rise,dbrx-instruct
nifty_1872,2019-07-09,Neutral,0.0048,Rise,dbrx-instruct
nifty_1873,2019-07-10,Neutral,0.0023,Rise,dbrx-instruct
nifty_1874,2019-07-11,Neutral,0.0045,Rise,dbrx-instruct
nifty_1875,2019-07-15,Neutral,-0.0032,Rise,dbrx-instruct
nifty_1876,2019-07-16,Fall,-0.0068,Rise,dbrx-instruct
nifty_1877,2019-07-17,Neutral,0.0037,Neutral,dbrx-instruct
nifty_1878,2019-07-18,Fall,-0.0056,Neutral,dbrx-instruct
nifty_1879,2019-07-22,Rise,0.0072,Rise,dbrx-instruct
nifty_1880,2019-07-23,Neutral,0.0047,Rise,dbrx-instruct
nifty_1881,2019-07-24,Neutral,-0.0048,Rise,dbrx-instruct
nifty_1882,2019-07-25,Rise,0.0067,Neutral,dbrx-instruct
nifty_1883,2019-07-29,Neutral,-0.0025,Rise,dbrx-instruct
nifty_1884,2019-07-30,Fall,-0.0109,Fall,dbrx-instruct
nifty_1885,2019-07-31,Fall,-0.0087,Fall,dbrx-instruct
nifty_1886,2019-08-01,Fall,-0.0075,Fall,dbrx-instruct
nifty_1887,2019-08-05,Rise,0.014,Fall,dbrx-instruct
nifty_1888,2019-08-06,Neutral,0.0006,Neutral,dbrx-instruct
nifty_1889,2019-08-07,Rise,0.0196,Neutral,dbrx-instruct
nifty_1890,2019-08-08,Fall,-0.0068,Rise,dbrx-instruct
nifty_1891,2019-08-12,Rise,0.0156,Fall,dbrx-instruct
nifty_1892,2019-08-13,Fall,-0.0296,Rise,dbrx-instruct
nifty_1893,2019-08-14,Neutral,0.0026,Neutral,dbrx-instruct
nifty_1894,2019-08-15,Rise,0.0148,Rise,dbrx-instruct
nifty_1895,2019-08-19,Fall,-0.0077,Rise,dbrx-instruct
nifty_1896,2019-08-20,Rise,0.0081,Fall,dbrx-instruct
nifty_1897,2019-08-21,Neutral,-0.0003,Fall,dbrx-instruct
nifty_1898,2019-08-22,Fall,-0.0257,Fall,dbrx-instruct
nifty_1899,2019-08-26,Neutral,-0.0039,Rise,dbrx-instruct
nifty_1900,2019-08-27,Rise,0.007,Fall,dbrx-instruct
nifty_1901,2019-08-28,Rise,0.0128,Rise,dbrx-instruct
nifty_1902,2019-08-29,Neutral,-0.0004,Rise,dbrx-instruct
nifty_1903,2019-09-03,Rise,0.0114,Neutral,dbrx-instruct
nifty_1904,2019-09-04,Rise,0.0129,Rise,dbrx-instruct
nifty_1905,2019-09-05,Neutral,0.0008,Rise,dbrx-instruct
nifty_1906,2019-09-09,Neutral,-0.0002,Neutral,dbrx-instruct
nifty_1907,2019-09-10,Rise,0.0071,Rise,dbrx-instruct
nifty_1908,2019-09-11,Neutral,0.0035,Neutral,dbrx-instruct
nifty_1909,2019-09-12,Neutral,-0.0007,Rise,dbrx-instruct
nifty_1910,2019-09-16,Neutral,0.0025,Neutral,dbrx-instruct
nifty_1911,2019-09-17,Neutral,0.0006,Neutral,dbrx-instruct
nifty_1912,2019-09-18,Neutral,-0.0001,Neutral,dbrx-instruct
nifty_1913,2019-09-19,Fall,-0.0093,Rise,dbrx-instruct
nifty_1914,2019-09-23,Fall,-0.0078,Neutral,dbrx-instruct
nifty_1915,2019-09-24,Rise,0.0059,Neutral,dbrx-instruct
nifty_1916,2019-09-25,Neutral,-0.0021,Fall,dbrx-instruct
nifty_1917,2019-09-26,Fall,-0.0054,Rise,dbrx-instruct
nifty_1918,2019-09-30,Fall,-0.0119,Neutral,dbrx-instruct
nifty_1919,2019-10-01,Fall,-0.0177,Rise,dbrx-instruct
nifty_1920,2019-10-02,Rise,0.0082,Fall,dbrx-instruct
nifty_1921,2019-10-03,Rise,0.0135,Fall,dbrx-instruct
nifty_1922,2019-10-07,Fall,-0.0155,Fall,dbrx-instruct
nifty_1923,2019-10-08,Rise,0.0095,Neutral,dbrx-instruct
nifty_1924,2019-10-09,Rise,0.0068,Neutral,dbrx-instruct
nifty_1925,2019-10-10,Rise,0.0104,Rise,dbrx-instruct
nifty_1926,2019-10-14,Rise,0.0099,Rise,dbrx-instruct
nifty_1927,2019-10-15,Neutral,-0.0016,Rise,dbrx-instruct
nifty_1928,2019-10-16,Neutral,0.0029,Rise,dbrx-instruct
nifty_1929,2019-10-17,Neutral,-0.0044,Rise,dbrx-instruct
nifty_1930,2019-10-21,Neutral,-0.0033,Rise,dbrx-instruct
nifty_1931,2019-10-22,Neutral,0.0029,Neutral,dbrx-instruct
nifty_1932,2019-10-23,Neutral,0.0016,Neutral,dbrx-instruct
nifty_1933,2019-10-24,Neutral,0.0041,Rise,dbrx-instruct
nifty_1934,2019-10-28,Neutral,-0.0003,Rise,dbrx-instruct
nifty_1935,2019-10-29,Neutral,0.0031,Rise,dbrx-instruct
nifty_1936,2019-10-30,Neutral,-0.0027,Rise,dbrx-instruct
nifty_1937,2019-10-31,Rise,0.0093,Neutral,dbrx-instruct
nifty_1938,2019-11-04,Neutral,-0.0011,Rise,dbrx-instruct
nifty_1939,2019-11-05,Neutral,0.0002,Rise,dbrx-instruct
nifty_1940,2019-11-06,Neutral,0.0035,Rise,dbrx-instruct
nifty_1941,2019-11-07,Neutral,0.0025,Rise,dbrx-instruct
nifty_1942,2019-11-11,Neutral,0.0021,Neutral,dbrx-instruct
nifty_1943,2019-11-12,Neutral,0.0003,Fall,dbrx-instruct
nifty_1944,2019-11-13,Neutral,0.0015,Rise,dbrx-instruct
nifty_1945,2019-11-14,Rise,0.0072,Neutral,dbrx-instruct
nifty_1946,2019-11-18,Neutral,-0.0003,Rise,dbrx-instruct
nifty_1947,2019-11-19,Neutral,-0.0037,Neutral,dbrx-instruct
nifty_1948,2019-11-20,Neutral,-0.0016,Fall,dbrx-instruct
nifty_1949,2019-11-21,Neutral,0.0022,Neutral,dbrx-instruct
