id,date,pct_change,expert_id,label,predicted_label
nifty_1794,2019-02-13,-0.0022,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1795,2019-02-14,0.0109,Llama-2-7b-chat-hf,Rise,Rise
nifty_1796,2019-02-19,0.002,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1797,2019-02-20,-0.0036,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1798,2019-02-21,0.0062,Llama-2-7b-chat-hf,Rise,Fall
nifty_1799,2019-02-25,-0.0007,Llama-2-7b-chat-hf,Neutral,Rise
nifty_1800,2019-02-26,-0.0004,Llama-2-7b-chat-hf,Neutral,Neutral
nifty_1801,2019-02-27,-0.0019,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1802,2019-02-28,0.0062,Llama-2-7b-chat-hf,Rise,Fall
nifty_1803,2019-03-04,-0.0014,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1804,2019-03-05,-0.0061,Llama-2-7b-chat-hf,Fall,Fall
nifty_1805,2019-03-06,-0.0084,Llama-2-7b-chat-hf,Fall,Neutral
nifty_1806,2019-03-07,-0.002,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1807,2019-03-11,0.0038,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1808,2019-03-12,0.0066,Llama-2-7b-chat-hf,Rise,Fall
nifty_1809,2019-03-13,-0.0006,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1810,2019-03-14,0.0005,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1811,2019-03-18,0.0002,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1812,2019-03-19,-0.003,Llama-2-7b-chat-hf,Neutral,Neutral
nifty_1813,2019-03-20,0.0113,Llama-2-7b-chat-hf,Rise,Fall
nifty_1814,2019-03-21,-0.0192,Llama-2-7b-chat-hf,Fall,Fall
nifty_1815,2019-03-25,0.0075,Llama-2-7b-chat-hf,Rise,Fall
nifty_1816,2019-03-26,-0.0052,Llama-2-7b-chat-hf,Fall,Fall
nifty_1817,2019-03-27,0.0038,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1818,2019-03-28,0.0063,Llama-2-7b-chat-hf,Rise,Fall
nifty_1819,2019-04-01,0.0005,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1820,2019-04-02,0.0016,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1821,2019-04-03,0.0027,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1822,2019-04-04,0.0048,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1823,2019-04-08,-0.0051,Llama-2-7b-chat-hf,Fall,Fall
nifty_1824,2019-04-09,0.0034,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1825,2019-04-10,-0.0003,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1826,2019-04-11,0.0068,Llama-2-7b-chat-hf,Rise,Neutral
nifty_1827,2019-04-15,0.0007,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1828,2019-04-16,-0.0024,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1829,2019-04-17,0.002,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1830,2019-04-22,0.009,Llama-2-7b-chat-hf,Rise,Neutral
nifty_1831,2019-04-23,-0.0022,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1832,2019-04-24,-0.0006,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1833,2019-04-25,0.0047,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1834,2019-04-29,0.0005,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1835,2019-04-30,-0.0075,Llama-2-7b-chat-hf,Fall,Fall
nifty_1836,2019-05-01,-0.0022,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1837,2019-05-02,0.0098,Llama-2-7b-chat-hf,Rise,Neutral
nifty_1838,2019-05-06,-0.0167,Llama-2-7b-chat-hf,Fall,Neutral
nifty_1839,2019-05-07,-0.0014,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1840,2019-05-08,-0.003,Llama-2-7b-chat-hf,Neutral,Neutral
nifty_1841,2019-05-09,0.005,Llama-2-7b-chat-hf,Rise,Neutral
nifty_1842,2019-05-13,0.009,Llama-2-7b-chat-hf,Rise,Fall
nifty_1843,2019-05-14,0.0059,Llama-2-7b-chat-hf,Rise,Fall
nifty_1844,2019-05-15,0.0093,Llama-2-7b-chat-hf,Rise,Neutral
nifty_1845,2019-05-16,-0.0065,Llama-2-7b-chat-hf,Fall,Fall
nifty_1846,2019-05-20,0.009,Llama-2-7b-chat-hf,Rise,Fall
nifty_1847,2019-05-21,-0.0031,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1848,2019-05-22,-0.0122,Llama-2-7b-chat-hf,Fall,Fall
nifty_1849,2019-05-23,0.0023,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1850,2019-05-28,-0.0067,Llama-2-7b-chat-hf,Fall,Rise
nifty_1851,2019-05-29,0.0027,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1852,2019-05-30,-0.0135,Llama-2-7b-chat-hf,Fall,Fall
nifty_1853,2019-06-03,0.0217,Llama-2-7b-chat-hf,Rise,Fall
nifty_1854,2019-06-04,0.0087,Llama-2-7b-chat-hf,Rise,Fall
nifty_1855,2019-06-05,0.0065,Llama-2-7b-chat-hf,Rise,Fall
nifty_1856,2019-06-06,0.01,Llama-2-7b-chat-hf,Rise,Fall
nifty_1857,2019-06-10,-0.0002,Llama-2-7b-chat-hf,Neutral,Neutral
nifty_1858,2019-06-11,-0.0018,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1859,2019-06-12,0.0041,Llama-2-7b-chat-hf,Neutral,Neutral
nifty_1860,2019-06-13,-0.0011,Llama-2-7b-chat-hf,Neutral,Fall
nifty_1861,2019-06-17,0.0105,Llama-2-7b-chat-hf,Rise,Neutral
nifty_1862,2019-06-18,0.0023,Llama-2-7b-chat-hf,Neutral,Rise
