id,date,pct_change,label,predicted_label,expert_id,label_numeric
nifty_1794,2019-02-13,-0.0022,Neutral,Rise,moe-f,2
nifty_1795,2019-02-14,0.0109,Rise,Rise,moe-f,2
nifty_1796,2019-02-19,0.002,Neutral,Rise,moe-f,2
nifty_1797,2019-02-20,-0.0036,Neutral,Neutral,moe-f,1
nifty_1798,2019-02-21,0.0062,Rise,Neutral,moe-f,1
nifty_1799,2019-02-25,-0.0007,Neutral,Rise,moe-f,2
nifty_1800,2019-02-26,-0.0004,Neutral,Neutral,moe-f,1
nifty_1801,2019-02-27,-0.0019,Neutral,Neutral,moe-f,1
nifty_1802,2019-02-28,0.0062,Rise,Neutral,moe-f,1
nifty_1803,2019-03-04,-0.0014,Neutral,Neutral,moe-f,1
nifty_1804,2019-03-05,-0.0061,Fall,Neutral,moe-f,1
nifty_1805,2019-03-06,-0.0084,Fall,Neutral,moe-f,1
nifty_1806,2019-03-07,-0.002,Neutral,Neutral,moe-f,1
nifty_1807,2019-03-11,0.0038,Neutral,Neutral,moe-f,1
nifty_1808,2019-03-12,0.0066,Rise,Neutral,moe-f,1
nifty_1809,2019-03-13,-0.0006,Neutral,Neutral,moe-f,1
nifty_1810,2019-03-14,0.0005,Neutral,Rise,moe-f,2
nifty_1811,2019-03-18,0.0002,Neutral,Rise,moe-f,2
nifty_1812,2019-03-19,-0.003,Neutral,Neutral,moe-f,1
nifty_1813,2019-03-20,0.0113,Rise,Rise,moe-f,2
nifty_1814,2019-03-21,-0.0192,Fall,Neutral,moe-f,1
nifty_1815,2019-03-25,0.0075,Rise,Neutral,moe-f,1
nifty_1816,2019-03-26,-0.0052,Fall,Neutral,moe-f,1
nifty_1817,2019-03-27,0.0038,Neutral,Neutral,moe-f,1
nifty_1818,2019-03-28,0.0063,Rise,Rise,moe-f,2
nifty_1819,2019-04-01,0.0005,Neutral,Neutral,moe-f,1
nifty_1820,2019-04-02,0.0016,Neutral,Neutral,moe-f,1
nifty_1821,2019-04-03,0.0027,Neutral,Neutral,moe-f,1
nifty_1822,2019-04-04,0.0048,Neutral,Neutral,moe-f,1
nifty_1823,2019-04-08,-0.0051,Fall,Neutral,moe-f,1
nifty_1824,2019-04-09,0.0034,Neutral,Neutral,moe-f,1
nifty_1825,2019-04-10,-0.0003,Neutral,Neutral,moe-f,1
nifty_1826,2019-04-11,0.0068,Rise,Rise,moe-f,2
nifty_1827,2019-04-15,0.0007,Neutral,Neutral,moe-f,1
nifty_1828,2019-04-16,-0.0024,Neutral,Neutral,moe-f,1
nifty_1829,2019-04-17,0.002,Neutral,Neutral,moe-f,1
nifty_1830,2019-04-22,0.009,Rise,Rise,moe-f,2
nifty_1831,2019-04-23,-0.0022,Neutral,Rise,moe-f,2
nifty_1832,2019-04-24,-0.0006,Neutral,Neutral,moe-f,1
nifty_1833,2019-04-25,0.0047,Neutral,Neutral,moe-f,1
nifty_1834,2019-04-29,0.0005,Neutral,Neutral,moe-f,1
nifty_1835,2019-04-30,-0.0075,Fall,Neutral,moe-f,1
